group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Monitoring Change,,,,,118174575.0,ns,2891
Monitoring Change,,,,,2506931.0,ns,5782
Monitoring Change,,,,,2668367.0,ns,8673
Monitoring Change,,,,,3624741.0,ns,11564
Monitoring Change,,,,,5088158.0,ns,14455
Monitoring Change,,,,,5370176.0,ns,17346
Monitoring Change,,,,,6697010.0,ns,20237
Monitoring Change,,,,,7488310.0,ns,23128
Monitoring Change,,,,,8353548.0,ns,26019
Monitoring Change,,,,,9244055.0,ns,28910
Monitoring Change,,,,,10893033.0,ns,31801
Monitoring Change,,,,,10888996.0,ns,34692
Monitoring Change,,,,,12241647.0,ns,37583
Monitoring Change,,,,,12988600.0,ns,40474
Monitoring Change,,,,,14344137.0,ns,43365
Monitoring Change,,,,,14698538.0,ns,46256
Monitoring Change,,,,,16443475.0,ns,49147
Monitoring Change,,,,,16852323.0,ns,52038
Monitoring Change,,,,,18440769.0,ns,54929
Monitoring Change,,,,,22962197.0,ns,57820
Monitoring Change,,,,,20000560.0,ns,60711
Monitoring Change,,,,,20588823.0,ns,63602
Monitoring Change,,,,,22248354.0,ns,66493
Monitoring Change,,,,,22619660.0,ns,69384
Monitoring Change,,,,,23651793.0,ns,72275
Monitoring Change,,,,,24513125.0,ns,75166
Monitoring Change,,,,,25795331.0,ns,78057
Monitoring Change,,,,,25961730.0,ns,80948
Monitoring Change,,,,,31969638.0,ns,83839
Monitoring Change,,,,,28789668.0,ns,86730
Monitoring Change,,,,,29561208.0,ns,89621
Monitoring Change,,,,,29034261.0,ns,92512
Monitoring Change,,,,,31304804.0,ns,95403
Monitoring Change,,,,,32995903.0,ns,98294
Monitoring Change,,,,,35487325.0,ns,101185
Monitoring Change,,,,,43878077.0,ns,104076
Monitoring Change,,,,,34801402.0,ns,106967
Monitoring Change,,,,,36056138.0,ns,109858
Monitoring Change,,,,,36775398.0,ns,112749
Monitoring Change,,,,,38064694.0,ns,115640
Monitoring Change,,,,,41986440.0,ns,118531
Monitoring Change,,,,,39912871.0,ns,121422
Monitoring Change,,,,,40775453.0,ns,124313
Monitoring Change,,,,,41874275.0,ns,127204
Monitoring Change,,,,,43811140.0,ns,130095
Monitoring Change,,,,,56371883.0,ns,132986
Monitoring Change,,,,,43775244.0,ns,135877
Monitoring Change,,,,,45814047.0,ns,138768
Monitoring Change,,,,,52938011.0,ns,141659
Monitoring Change,,,,,47635472.0,ns,144550
Monitoring Change,,,,,48500170.0,ns,147441
Monitoring Change,,,,,49988591.0,ns,150332
Monitoring Change,,,,,50894723.0,ns,153223
Monitoring Change,,,,,55379548.0,ns,156114
Monitoring Change,,,,,52099428.0,ns,159005
Monitoring Change,,,,,54409910.0,ns,161896
Monitoring Change,,,,,53653160.0,ns,164787
Monitoring Change,,,,,57426603.0,ns,167678
Monitoring Change,,,,,56254046.0,ns,170569
Monitoring Change,,,,,56794241.0,ns,173460
Monitoring Change,,,,,59470864.0,ns,176351
Monitoring Change,,,,,59400113.0,ns,179242
Monitoring Change,,,,,65178014.0,ns,182133
Monitoring Change,,,,,64790406.0,ns,185024
Monitoring Change,,,,,64676813.0,ns,187915
Monitoring Change,,,,,62696944.0,ns,190806
Monitoring Change,,,,,63898139.0,ns,193697
Monitoring Change,,,,,66988462.0,ns,196588
Monitoring Change,,,,,65651554.0,ns,199479
Monitoring Change,,,,,67581766.0,ns,202370
Monitoring Change,,,,,74555510.0,ns,205261
Monitoring Change,,,,,69833794.0,ns,208152
Monitoring Change,,,,,69777840.0,ns,211043
Monitoring Change,,,,,73477951.0,ns,213934
Monitoring Change,,,,,71509642.0,ns,216825
Monitoring Change,,,,,71933794.0,ns,219716
Monitoring Change,,,,,75833991.0,ns,222607
Monitoring Change,,,,,73861297.0,ns,225498
Monitoring Change,,,,,75339112.0,ns,228389
Monitoring Change,,,,,78474854.0,ns,231280
Monitoring Change,,,,,79431117.0,ns,234171
Monitoring Change,,,,,82607245.0,ns,237062
Monitoring Change,,,,,81371268.0,ns,239953
Monitoring Change,,,,,82230551.0,ns,242844
Monitoring Change,,,,,106720154.0,ns,245735
Monitoring Change,,,,,82618115.0,ns,248626
Monitoring Change,,,,,85523050.0,ns,251517
Monitoring Change,,,,,83579991.0,ns,254408
Monitoring Change,,,,,85590097.0,ns,257299
Monitoring Change,,,,,88233795.0,ns,260190
Monitoring Change,,,,,87379817.0,ns,263081
Monitoring Change,,,,,87397687.0,ns,265972
Monitoring Change,,,,,90066239.0,ns,268863
Monitoring Change,,,,,100252645.0,ns,271754
Monitoring Change,,,,,89115549.0,ns,274645
Monitoring Change,,,,,94140749.0,ns,277536
Monitoring Change,,,,,91183963.0,ns,280427
Monitoring Change,,,,,92257454.0,ns,283318
Monitoring Change,,,,,96055851.0,ns,286209
Monitoring Change,,,,,95402498.0,ns,289100
